PinNum,Shrt_Desc,Trans_Fat,Water,Calories,Protein,Total Fat,Carbohydrt,Fiber_TD,Ash,Calcium,Phosphorus,Iron,Sodium,Potassium,Magnesium,Zinc,Copper,Manganese,Selenium,Vit_A,Vit_E,Thiamin,Riboflavin,Niacin,Panto_acid,Vit_B6,Folate,Vit_B12,Vit_C,FA_Sat,FA_Mono,FA_Poly,Cholestrl,GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,WaterAmount,AlcoholContent,FlavorContent,Added_Sugars,Sugars,Vitamin D,Sugar Alcohols
637,Orange Juice Conc. 185,0,39.7,236,3.19,0.59,54.51,0.69,2.01,47,0,0.51,47.63,1050,0,0,0,0,0,167,0,0,0,0,0,0,0,0,105,0.2,0,0,0,0,0,0,0,0,0,0,0,,,,
645, Oregano Powder,0,8,365,12,6.4,64.9,11,0,1700,200,53.3,20,1.7,0,0,0,0,0,6900,0,340,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
653, Paprika Oleoresin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
654, Paprika OR,0,0.2,897.75,0,99.75,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
661, Parsley Powder,0,0.15,339,31.4,5.01,42.2,77.8,0,143,572,53.6,0,6291,0,0,0,0,0,6355,0,1.08,2.28,10.4,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,,,,
666, Peach Juice Concentrate,0,32,240,2,0,59,4.5,7,35,8.4,0.77,0,1380,0,0,0,0,0,3740,0,0.11,0.28,6.9,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,,,,
667, Roasted Peanut Extract,0,0,900,0,100,0,0,0,0.09,0,0.03,0.11,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,46.2,32,0,0,0,0,0,0,0,0,0,,,,
668," Pear Juice Conc. 70 Brix, Code 10",0,35,208,1.17,0,50.75,0,1.87,207.08,155.75,1.34,12.83,678.42,0,2.92,0,0,0,0,0,0.53,0.58,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,70,,
674, Cayenne Pepper Powder,0,8.05,430,12.01,17.27,56.63,27.2,6.04,148,293,7.8,30,2014,152,2.48,0.373,2,8.8,2081,29.83,0.328,0.919,8.701,0,2.45,106,0,76.4,3.26,2.75,8.37,0,0,0,0,0,0,0,0,0,0,,,
675, Green Bell Pepper Powder,0,4.5,374,17.4,2.89,69.5,17.4,8.97,69,0,10.1,188,0,0,0,0,0,0,3040,0,0,0,0,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,,,,
